Podio por especialidad en cada torneo:
Criterio de desempate: ante igual marca, se ordena alfabéticamente por deportista.
Especialidad,Torneo,Deportista,Marca
carrera 800 m,Torneo de Wales,Marco AROP,102283
carrera 800 m,Torneo de Yemen,Abubaker Haydar ABDALLA,101895
carrera 800 m,Torneo de Yemen,Brandon MCBRIDE,102963
carrera 800 m,Torneo de Yemen,Olha LYAKHOVA,102993
carrera 800 m,Torneo de Zambia,Marcin LEWANDOWSKI,101921
carrera 800 m,Torneo de Zambia,Francine NIYONSABA,101940
carrera 800 m,Torneo de Zambia,Olha LYAKHOVA,102212
carrera 800 m,Torneo de Zimbabwe,Lynsey SHARP,102346
carrera 800 m,Torneo de Zimbabwe,Wesley VÁZQUEZ,102912
carrera 800 m,Torneo de Zimbabwe,Natoya GOULE,103064
lanzamiento de bala,Torneo de Afghanistan,Darrell HILL,2500
lanzamiento de bala,Torneo de Afghanistan,Eldred HENRY,2499
lanzamiento de bala,Torneo de Afghanistan,Anna AVDEYEVA,2498
lanzamiento de bala,Torneo de Albania,Christina SCHWANITZ,2512
lanzamiento de bala,Torneo de Albania,Fanny ROOS,2510
lanzamiento de bala,Torneo de Albania,Michał HARATYK,2493
lanzamiento de bala,Torneo de Algeria,Alyona GORDEYEVA,2518
lanzamiento de bala,Torneo de Algeria,Lijiao GONG,2515
lanzamiento de bala,Torneo de Algeria,Michał HARATYK,2512
lanzamiento de bala,Torneo de Andorra,Payton OTTERDAHL,2509
lanzamiento de bala,Torneo de Andorra,Brittany CREW,2508
lanzamiento de bala,Torneo de Andorra,Dimitriana SURDU,2504
lanzamiento de bala,Torneo de Angola,Michał HARATYK,2513
lanzamiento de bala,Torneo de Angola,Konrad BUKOWIECKI,2503
lanzamiento de bala,Torneo de Angola,Daniella HILL,2501
lanzamiento de bala,Torneo de Antigua and Barbuda,Tomáš STANĚK,2520
lanzamiento de bala,Torneo de Antigua and Barbuda,Darrell HILL,2517
lanzamiento de bala,Torneo de Antigua and Barbuda,Christina SCHWANITZ,2513
lanzamiento de bala,Torneo de Argentina,Eldred HENRY,2519
lanzamiento de bala,Torneo de Argentina,Jessica RAMSEY,2519
lanzamiento de bala,Torneo de Argentina,Armin SINANČEVIĆ,2518
lanzamiento de bala,Torneo de Armenia,Anita MÁRTON,2520
lanzamiento de bala,Torneo de Armenia,Jessica RAMSEY,2508
lanzamiento de bala,Torneo de Armenia,Darrell HILL,2502
lanzamiento de bala,Torneo de Australia,Anna AVDEYEVA,2509
lanzamiento de bala,Torneo de Australia,Jonathan JONES,2499
lanzamiento de bala,Torneo de Australia,Orazio CREMONA,2493
lanzamiento de bala,Torneo de Austria,Sophie MCKINNA,2520
lanzamiento de bala,Torneo de Austria,Rachel FATHERLY,2516
lanzamiento de bala,Torneo de Austria,Tim NEDOW,2516
lanzamiento de bala,Torneo de Azerbaijan,Dimitriana SURDU,2516
lanzamiento de bala,Torneo de Azerbaijan,Christina SCHWANITZ,2514
lanzamiento de bala,Torneo de Azerbaijan,Sophie MCKINNA,2513
lanzamiento de bala,Torneo de Bahamas,Jordan GEIST,2514
lanzamiento de bala,Torneo de Bahamas,Payton OTTERDAHL,2510
lanzamiento de bala,Torneo de Bahamas,Fanny ROOS,2505
lanzamiento de bala,Torneo de Bahrain,Chase EALEY,2521
lanzamiento de bala,Torneo de Bahrain,Daniella HILL,2510
lanzamiento de bala,Torneo de Bahrain,Maggie EWEN,2501
lanzamiento de bala,Torneo de Bangladesh,Anita MÁRTON,2514
lanzamiento de bala,Torneo de Bangladesh,Jeneva STEVENS,2508
lanzamiento de bala,Torneo de Bangladesh,Jordan GEIST,2507
lanzamiento de bala,Torneo de Barbados,Payton OTTERDAHL,2519
lanzamiento de bala,Torneo de Barbados,Darrell HILL,2514
lanzamiento de bala,Torneo de Barbados,Jessica RAMSEY,2511
lanzamiento de bala,Torneo de Belarus,Alyona GORDEYEVA,2517
lanzamiento de bala,Torneo de Belarus,Anita MÁRTON,2516
lanzamiento de bala,Torneo de Belarus,Fanny ROOS,2493
lanzamiento de bala,Torneo de Belgium,Tim NEDOW,2513
lanzamiento de bala,Torneo de Belgium,Dimitriana SURDU,2502
lanzamiento de bala,Torneo de Belgium,Tomáš STANĚK,2501
lanzamiento de bala,Torneo de Belize,Konrad BUKOWIECKI,2503
lanzamiento de bala,Torneo de Belize,Tomáš STANĚK,2503
lanzamiento de bala,Torneo de Belize,Orazio CREMONA,2489
lanzamiento de bala,Torneo de Benin,Chukwuebuka ENEKWECHI,2521
lanzamiento de bala,Torneo de Benin,Armin SINANČEVIĆ,2517
lanzamiento de bala,Torneo de Benin,Rachel FATHERLY,2514
lanzamiento de bala,Torneo de Bhutan,Jeneva STEVENS,2521
lanzamiento de bala,Torneo de Bhutan,Daniella HILL,2516
lanzamiento de bala,Torneo de Bhutan,Joe KOVACS,2514
lanzamiento de bala,Torneo de Bolivia,Rachel FATHERLY,2511
lanzamiento de bala,Torneo de Bolivia,Armin SINANČEVIĆ,2510
lanzamiento de bala,Torneo de Bolivia,Alyona GORDEYEVA,2502
lanzamiento de bala,Torneo de Bosnia and Herzegovina,Tomáš STANĚK,2521
lanzamiento de bala,Torneo de Bosnia and Herzegovina,Filip MIHALJEVIĆ,2511
lanzamiento de bala,Torneo de Bosnia and Herzegovina,Payton OTTERDAHL,2510
lanzamiento de bala,Torneo de Botswana,Maggie EWEN,2521
lanzamiento de bala,Torneo de Botswana,Sophie MCKINNA,2519
lanzamiento de bala,Torneo de Botswana,Lijiao GONG,2517
lanzamiento de bala,Torneo de Brazil,Portious WARREN,2520
lanzamiento de bala,Torneo de Brazil,Sophie MCKINNA,2517
lanzamiento de bala,Torneo de Brazil,Bob BERTEMES,2515
lanzamiento de bala,Torneo de Brunei,Mesud PEZER,2513
lanzamiento de bala,Torneo de Brunei,Tomáš STANĚK,2501
lanzamiento de bala,Torneo de Brunei,Filip MIHALJEVIĆ,2500
lanzamiento de bala,Torneo de Bulgaria,Daniella HILL,2503
lanzamiento de bala,Torneo de Bulgaria,Alyona GORDEYEVA,2499
lanzamiento de bala,Torneo de Bulgaria,Ryan CROUSER,2483
lanzamiento de bala,Torneo de Burkina Faso,Orazio CREMONA,2520
lanzamiento de bala,Torneo de Burkina Faso,Jessica RAMSEY,2501
lanzamiento de bala,Torneo de Burkina Faso,Jacko GILL,2494
lanzamiento de bala,Torneo de Burundi,Portious WARREN,2521
lanzamiento de bala,Torneo de Burundi,Chukwuebuka ENEKWECHI,2520
lanzamiento de bala,Torneo de Burundi,Filip MIHALJEVIĆ,2510
lanzamiento de bala,Torneo de Cabo Verde,Darlan ROMANI,2518
lanzamiento de bala,Torneo de Cabo Verde,Anita MÁRTON,2515
lanzamiento de bala,Torneo de Cabo Verde,Payton OTTERDAHL,2513
lanzamiento de bala,Torneo de Cambodia,Christina SCHWANITZ,2511
lanzamiento de bala,Torneo de Cambodia,Portious WARREN,2504
lanzamiento de bala,Torneo de Cambodia,Joe KOVACS,2495
lanzamiento de bala,Torneo de Cameroon,Armin SINANČEVIĆ,2512
lanzamiento de bala,Torneo de Cameroon,Anna AVDEYEVA,2511
lanzamiento de bala,Torneo de Cameroon,Konrad BUKOWIECKI,2506
lanzamiento de bala,Torneo de Canada,Danniel THOMAS-DODD,2514
lanzamiento de bala,Torneo de Canada,Darlan ROMANI,2514
lanzamiento de bala,Torneo de Canada,Jonathan JONES,2513
lanzamiento de bala,Torneo de Central African Republic,Ryan CROUSER,2520
lanzamiento de bala,Torneo de Central African Republic,Fanny ROOS,2511
lanzamiento de bala,Torneo de Central African Republic,Aliona DUBITSKAYA,2509
lanzamiento de bala,Torneo de Chad,Jessica RAMSEY,2509
lanzamiento de bala,Torneo de Chad,Konrad BUKOWIECKI,2508
lanzamiento de bala,Torneo de Chad,Dimitriana SURDU,2507
lanzamiento de bala,Torneo de Chile,Brittany CREW,2521
lanzamiento de bala,Torneo de Chile,Chase EALEY,2515
lanzamiento de bala,Torneo de Chile,Chukwuebuka ENEKWECHI,2511
lanzamiento de bala,Torneo de China,Dimitriana SURDU,2508
lanzamiento de bala,Torneo de China,Anita MÁRTON,2502
lanzamiento de bala,Torneo de China,Alyona GORDEYEVA,2494
lanzamiento de bala,Torneo de Colombia,Sophie MCKINNA,2519
lanzamiento de bala,Torneo de Colombia,Chukwuebuka ENEKWECHI,2513
lanzamiento de bala,Torneo de Colombia,Darlan ROMANI,2508
lanzamiento de bala,Torneo de Comoros,Fanny ROOS,2512
lanzamiento de bala,Torneo de Comoros,Ryan CROUSER,2512
lanzamiento de bala,Torneo de Comoros,Tim NEDOW,2512
lanzamiento de bala,Torneo de Congo Democratic Republic of the,Portious WARREN,2519
lanzamiento de bala,Torneo de Congo Democratic Republic of the,Dimitriana SURDU,2514
lanzamiento de bala,Torneo de Congo Democratic Republic of the,Chase EALEY,2510
lanzamiento de bala,Torneo de Congo Republic of the,Rachel FATHERLY,2519
lanzamiento de bala,Torneo de Congo Republic of the,Jonathan JONES,2518
lanzamiento de bala,Torneo de Congo Republic of the,Dimitriana SURDU,2517
lanzamiento de bala,Torneo de Costa Rica,Michał HARATYK,2513
lanzamiento de bala,Torneo de Costa Rica,Chukwuebuka ENEKWECHI,2493
lanzamiento de bala,Torneo de Costa Rica,Jonathan JONES,2492
lanzamiento de bala,Torneo de Croatia,Ryan CROUSER,2519
lanzamiento de bala,Torneo de Croatia,Maggie EWEN,2506
lanzamiento de bala,Torneo de Croatia,Jacko GILL,2502
lanzamiento de bala,Torneo de Cuba,Jacko GILL,2516
lanzamiento de bala,Torneo de Cuba,Anita MÁRTON,2508
lanzamiento de bala,Torneo de Cuba,Darlan ROMANI,2479
lanzamiento de bala,Torneo de Cyprus,Michelle CARTER,2515
lanzamiento de bala,Torneo de Cyprus,Maggie EWEN,2513
lanzamiento de bala,Torneo de Cyprus,Lijiao GONG,2510
lanzamiento de bala,Torneo de Czechia,Lijiao GONG,2521
lanzamiento de bala,Torneo de Czechia,Darlan ROMANI,2514
lanzamiento de bala,Torneo de Czechia,Jonathan JONES,2514
lanzamiento de bala,Torneo de Denmark,Darlan ROMANI,2518
lanzamiento de bala,Torneo de Denmark,Filip MIHALJEVIĆ,2498
lanzamiento de bala,Torneo de Denmark,Joe KOVACS,2494
lanzamiento de bala,Torneo de Djibouti,Lijiao GONG,2519
lanzamiento de bala,Torneo de Djibouti,Michał HARATYK,2518
lanzamiento de bala,Torneo de Djibouti,Portious WARREN,2518
lanzamiento de bala,Torneo de Dominica,Alyona GORDEYEVA,2518
lanzamiento de bala,Torneo de Dominica,Darrell HILL,2515
lanzamiento de bala,Torneo de Dominica,Tomas WALSH,2515
lanzamiento de bala,Torneo de Dominican Republic,Jonathan JONES,2517
lanzamiento de bala,Torneo de Dominican Republic,Orazio CREMONA,2501
lanzamiento de bala,Torneo de Dominican Republic,Brittany CREW,2477
lanzamiento de bala,Torneo de Ecuador,Bob BERTEMES,2514
lanzamiento de bala,Torneo de Ecuador,Filip MIHALJEVIĆ,2503
lanzamiento de bala,Torneo de Ecuador,Daniella HILL,2491
lanzamiento de bala,Torneo de Egypt,Sophie MCKINNA,2520
lanzamiento de bala,Torneo de Egypt,Jessica RAMSEY,2519
lanzamiento de bala,Torneo de Egypt,Jacko GILL,2506
lanzamiento de bala,Torneo de El Salvador,Michelle CARTER,2519
lanzamiento de bala,Torneo de El Salvador,Armin SINANČEVIĆ,2517
lanzamiento de bala,Torneo de El Salvador,Tomas WALSH,2515
lanzamiento de bala,Torneo de Equatorial Guinea,Tomáš STANĚK,2520
lanzamiento de bala,Torneo de Equatorial Guinea,Tomas WALSH,2516
lanzamiento de bala,Torneo de Equatorial Guinea,Rachel FATHERLY,2509
lanzamiento de bala,Torneo de Eritrea,Michał HARATYK,2514
lanzamiento de bala,Torneo de Eritrea,Chase EALEY,2511
lanzamiento de bala,Torneo de Eritrea,Aliona DUBITSKAYA,2507
lanzamiento de bala,Torneo de Estonia,Lijiao GONG,2514
lanzamiento de bala,Torneo de Estonia,Armin SINANČEVIĆ,2512
lanzamiento de bala,Torneo de Estonia,Christina SCHWANITZ,2488
lanzamiento de bala,Torneo de Ethiopia,Paulina GUBA,2513
lanzamiento de bala,Torneo de Ethiopia,Rachel FATHERLY,2511
lanzamiento de bala,Torneo de Ethiopia,Christina SCHWANITZ,2499
lanzamiento de bala,Torneo de Fiji,Anna AVDEYEVA,2518
lanzamiento de bala,Torneo de Fiji,Jordan GEIST,2506
lanzamiento de bala,Torneo de Fiji,Darlan ROMANI,2502
lanzamiento de bala,Torneo de Finland,Brittany CREW,2518
lanzamiento de bala,Torneo de Finland,Tomas WALSH,2518
lanzamiento de bala,Torneo de Finland,Alyona GORDEYEVA,2514
lanzamiento de bala,Torneo de France,Armin SINANČEVIĆ,2516
lanzamiento de bala,Torneo de France,Maggie EWEN,2516
lanzamiento de bala,Torneo de France,Orazio CREMONA,2509
lanzamiento de bala,Torneo de French Guiana,Darrell HILL,2520
lanzamiento de bala,Torneo de French Guiana,Sophie MCKINNA,2514
lanzamiento de bala,Torneo de French Guiana,Maggie EWEN,2508
lanzamiento de bala,Torneo de Gabon,Maggie EWEN,2518
lanzamiento de bala,Torneo de Gabon,Eldred HENRY,2515
lanzamiento de bala,Torneo de Gabon,Rachel FATHERLY,2515
lanzamiento de bala,Torneo de Gambia,Jordan GEIST,2517
lanzamiento de bala,Torneo de Gambia,Jessica RAMSEY,2516
lanzamiento de bala,Torneo de Gambia,Anita MÁRTON,2515
lanzamiento de bala,Torneo de Georgia,Jeneva STEVENS,2518
lanzamiento de bala,Torneo de Georgia,Rachel FATHERLY,2515
lanzamiento de bala,Torneo de Georgia,Ryan CROUSER,2509
lanzamiento de bala,Torneo de Germany,Chase EALEY,2519
lanzamiento de bala,Torneo de Germany,Portious WARREN,2517
lanzamiento de bala,Torneo de Germany,Jonathan JONES,2516
lanzamiento de bala,Torneo de Ghana,Danniel THOMAS-DODD,2517
lanzamiento de bala,Torneo de Ghana,Sophie MCKINNA,2517
lanzamiento de bala,Torneo de Ghana,Rachel FATHERLY,2488
lanzamiento de bala,Torneo de Greece,Michelle CARTER,2508
lanzamiento de bala,Torneo de Greece,Rachel FATHERLY,2508
lanzamiento de bala,Torneo de Greece,Christina SCHWANITZ,2503
lanzamiento de bala,Torneo de Grenada,Anna AVDEYEVA,2514
lanzamiento de bala,Torneo de Grenada,Chukwuebuka ENEKWECHI,2511
lanzamiento de bala,Torneo de Grenada,Orazio CREMONA,2511
lanzamiento de bala,Torneo de Guatemala,Darlan ROMANI,2520
lanzamiento de bala,Torneo de Guatemala,Alyona GORDEYEVA,2517
lanzamiento de bala,Torneo de Guatemala,Jordan GEIST,2515
lanzamiento de bala,Torneo de Guinea,Danniel THOMAS-DODD,2518
lanzamiento de bala,Torneo de Guinea,Orazio CREMONA,2516
lanzamiento de bala,Torneo de Guinea,Maggie EWEN,2512
lanzamiento de bala,Torneo de Guinea-Bissau,Ryan CROUSER,2517
lanzamiento de bala,Torneo de Guinea-Bissau,Brittany CREW,2516
lanzamiento de bala,Torneo de Guinea-Bissau,Chukwuebuka ENEKWECHI,2508
lanzamiento de bala,Torneo de Guyana,Sophie MCKINNA,2511
lanzamiento de bala,Torneo de Guyana,Michelle CARTER,2498
lanzamiento de bala,Torneo de Guyana,Rachel FATHERLY,2498
lanzamiento de bala,Torneo de Haiti,Michelle CARTER,2507
lanzamiento de bala,Torneo de Haiti,Dimitriana SURDU,2504
lanzamiento de bala,Torneo de Haiti,Aliona DUBITSKAYA,2501
lanzamiento de bala,Torneo de Honduras,Anita MÁRTON,2521
lanzamiento de bala,Torneo de Honduras,Tomáš STANĚK,2514
lanzamiento de bala,Torneo de Honduras,Tim NEDOW,2500
lanzamiento de bala,Torneo de Hungary,Jordan GEIST,2519
lanzamiento de bala,Torneo de Hungary,Michał HARATYK,2514
lanzamiento de bala,Torneo de Hungary,Darrell HILL,2511
lanzamiento de bala,Torneo de Iceland,Dimitriana SURDU,2520
lanzamiento de bala,Torneo de Iceland,Michelle CARTER,2520
lanzamiento de bala,Torneo de Iceland,Michał HARATYK,2517
lanzamiento de bala,Torneo de India,Tomáš STANĚK,2520
lanzamiento de bala,Torneo de India,Bob BERTEMES,2518
lanzamiento de bala,Torneo de India,Brittany CREW,2515
lanzamiento de bala,Torneo de Indonesia,Chukwuebuka ENEKWECHI,2513
lanzamiento de bala,Torneo de Indonesia,Payton OTTERDAHL,2508
lanzamiento de bala,Torneo de Indonesia,Christina SCHWANITZ,2484
lanzamiento de bala,Torneo de Iran,Michelle CARTER,2520
lanzamiento de bala,Torneo de Iran,Jordan GEIST,2511
lanzamiento de bala,Torneo de Iran,Fanny ROOS,2509
lanzamiento de bala,Torneo de Iraq,Filip MIHALJEVIĆ,2502
lanzamiento de bala,Torneo de Iraq,Jacko GILL,2494
lanzamiento de bala,Torneo de Iraq,Paulina GUBA,2492
lanzamiento de bala,Torneo de Ireland,Brittany CREW,2512
lanzamiento de bala,Torneo de Ireland,Tim NEDOW,2509
lanzamiento de bala,Torneo de Ireland,Chase EALEY,2503
lanzamiento de bala,Torneo de Israel,Fanny ROOS,2514
lanzamiento de bala,Torneo de Israel,Mesud PEZER,2509
lanzamiento de bala,Torneo de Israel,Eldred HENRY,2505
lanzamiento de bala,Torneo de Italy,Mesud PEZER,2516
lanzamiento de bala,Torneo de Italy,Maggie EWEN,2504
lanzamiento de bala,Torneo de Italy,Danniel THOMAS-DODD,2499
lanzamiento de bala,Torneo de Ivory Coast,Brittany CREW,2521
lanzamiento de bala,Torneo de Ivory Coast,Maggie EWEN,2520
lanzamiento de bala,Torneo de Ivory Coast,Michelle CARTER,2517
lanzamiento de bala,Torneo de Jamaica,Michał HARATYK,2521
lanzamiento de bala,Torneo de Jamaica,Joe KOVACS,2519
lanzamiento de bala,Torneo de Jamaica,Darlan ROMANI,2502
lanzamiento de bala,Torneo de Japan,Armin SINANČEVIĆ,2519
lanzamiento de bala,Torneo de Japan,Tomáš STANĚK,2515
lanzamiento de bala,Torneo de Japan,Danniel THOMAS-DODD,2494
lanzamiento de bala,Torneo de Jordan,Payton OTTERDAHL,2519
lanzamiento de bala,Torneo de Jordan,Bob BERTEMES,2518
lanzamiento de bala,Torneo de Jordan,Tim NEDOW,2489
lanzamiento de bala,Torneo de Kazakhstan,Anita MÁRTON,2520
lanzamiento de bala,Torneo de Kazakhstan,Portious WARREN,2514
lanzamiento de bala,Torneo de Kazakhstan,Jessica RAMSEY,2509
lanzamiento de bala,Torneo de Kenya,Jacko GILL,2511
lanzamiento de bala,Torneo de Kenya,Brittany CREW,2506
lanzamiento de bala,Torneo de Kenya,Joe KOVACS,2503
lanzamiento de bala,Torneo de Kiribati,Payton OTTERDAHL,2485
lanzamiento de bala,Torneo de Kiribati,Michał HARATYK,2478
lanzamiento de bala,Torneo de Kiribati,Sophie MCKINNA,2476
lanzamiento de bala,Torneo de Kosovo,Jessica RAMSEY,2518
lanzamiento de bala,Torneo de Kosovo,Payton OTTERDAHL,2518
lanzamiento de bala,Torneo de Kosovo,Maggie EWEN,2514
lanzamiento de bala,Torneo de Kuwait,Chukwuebuka ENEKWECHI,2511
lanzamiento de bala,Torneo de Kuwait,Filip MIHALJEVIĆ,2501
lanzamiento de bala,Torneo de Kuwait,Tim NEDOW,2488
lanzamiento de bala,Torneo de Kyrgyzstan,Mesud PEZER,2512
lanzamiento de bala,Torneo de Kyrgyzstan,Alyona GORDEYEVA,2511
lanzamiento de bala,Torneo de Kyrgyzstan,Bob BERTEMES,2505
lanzamiento de bala,Torneo de Laos,Danniel THOMAS-DODD,2521
lanzamiento de bala,Torneo de Laos,Lijiao GONG,2520
lanzamiento de bala,Torneo de Laos,Daniella HILL,2515
lanzamiento de bala,Torneo de Latvia,Michał HARATYK,2515
lanzamiento de bala,Torneo de Latvia,Tomas WALSH,2511
lanzamiento de bala,Torneo de Latvia,Orazio CREMONA,2498
lanzamiento de bala,Torneo de Lebanon,Orazio CREMONA,2517
lanzamiento de bala,Torneo de Lebanon,Tomáš STANĚK,2515
lanzamiento de bala,Torneo de Lebanon,Sophie MCKINNA,2498
lanzamiento de bala,Torneo de Lesotho,Daniella HILL,2513
lanzamiento de bala,Torneo de Lesotho,Jonathan JONES,2508
lanzamiento de bala,Torneo de Lesotho,Maggie EWEN,2507
lanzamiento de bala,Torneo de Liberia,Tim NEDOW,2516
lanzamiento de bala,Torneo de Liberia,Eldred HENRY,2513
lanzamiento de bala,Torneo de Liberia,Anna AVDEYEVA,2511
lanzamiento de bala,Torneo de Libya,Tim NEDOW,2518
lanzamiento de bala,Torneo de Libya,Anna AVDEYEVA,2508
lanzamiento de bala,Torneo de Libya,Armin SINANČEVIĆ,2506
lanzamiento de bala,Torneo de Liechtenstein,Michał HARATYK,2520
lanzamiento de bala,Torneo de Liechtenstein,Tim NEDOW,2514
lanzamiento de bala,Torneo de Liechtenstein,Darlan ROMANI,2513
lanzamiento de bala,Torneo de Lithuania,Joe KOVACS,2506
lanzamiento de bala,Torneo de Lithuania,Alyona GORDEYEVA,2504
lanzamiento de bala,Torneo de Lithuania,Jordan GEIST,2503
lanzamiento de bala,Torneo de Luxembourg,Dimitriana SURDU,2520
lanzamiento de bala,Torneo de Luxembourg,Anna AVDEYEVA,2518
lanzamiento de bala,Torneo de Luxembourg,Brittany CREW,2518
lanzamiento de bala,Torneo de Macedonia,Jacko GILL,2516
lanzamiento de bala,Torneo de Macedonia,Bob BERTEMES,2510
lanzamiento de bala,Torneo de Macedonia,Konrad BUKOWIECKI,2505
lanzamiento de bala,Torneo de Madagascar,Konrad BUKOWIECKI,2514
lanzamiento de bala,Torneo de Madagascar,Danniel THOMAS-DODD,2511
lanzamiento de bala,Torneo de Madagascar,Filip MIHALJEVIĆ,2509
lanzamiento de bala,Torneo de Malawi,Dimitriana SURDU,2497
lanzamiento de bala,Torneo de Malawi,Armin SINANČEVIĆ,2495
lanzamiento de bala,Torneo de Malawi,Darlan ROMANI,2492
lanzamiento de bala,Torneo de Malaysia,Mesud PEZER,2515
lanzamiento de bala,Torneo de Malaysia,Dimitriana SURDU,2505
lanzamiento de bala,Torneo de Malaysia,Payton OTTERDAHL,2499
lanzamiento de bala,Torneo de Maldives,Dimitriana SURDU,2513
lanzamiento de bala,Torneo de Maldives,Jonathan JONES,2508
lanzamiento de bala,Torneo de Maldives,Darrell HILL,2502
lanzamiento de bala,Torneo de Mali,Jordan GEIST,2521
lanzamiento de bala,Torneo de Mali,Michelle CARTER,2516
lanzamiento de bala,Torneo de Mali,Portious WARREN,2509
lanzamiento de bala,Torneo de Malta,Chase EALEY,2519
lanzamiento de bala,Torneo de Malta,Darlan ROMANI,2518
lanzamiento de bala,Torneo de Malta,Rachel FATHERLY,2516
lanzamiento de bala,Torneo de Marshall Islands,Darlan ROMANI,2495
lanzamiento de bala,Torneo de Marshall Islands,Christina SCHWANITZ,2485
lanzamiento de bala,Torneo de Marshall Islands,Jessica RAMSEY,2473
lanzamiento de bala,Torneo de Mauritania,Dimitriana SURDU,2520
lanzamiento de bala,Torneo de Mauritania,Ryan CROUSER,2519
lanzamiento de bala,Torneo de Mauritania,Orazio CREMONA,2506
lanzamiento de bala,Torneo de Mauritius,Sophie MCKINNA,2519
lanzamiento de bala,Torneo de Mauritius,Brittany CREW,2517
lanzamiento de bala,Torneo de Mauritius,Jeneva STEVENS,2508
lanzamiento de bala,Torneo de Mexico,Darrell HILL,2519
lanzamiento de bala,Torneo de Mexico,Anna AVDEYEVA,2506
lanzamiento de bala,Torneo de Mexico,Tomas WALSH,2503
lanzamiento de bala,Torneo de Micronesia,Orazio CREMONA,2509
lanzamiento de bala,Torneo de Micronesia,Jacko GILL,2506
lanzamiento de bala,Torneo de Micronesia,Fanny ROOS,2502
lanzamiento de bala,Torneo de Moldova,Darrell HILL,2519
lanzamiento de bala,Torneo de Moldova,Christina SCHWANITZ,2516
lanzamiento de bala,Torneo de Moldova,Anna AVDEYEVA,2502
lanzamiento de bala,Torneo de Monaco,Tomáš STANĚK,2521
lanzamiento de bala,Torneo de Monaco,Darrell HILL,2516
lanzamiento de bala,Torneo de Monaco,Dimitriana SURDU,2508
lanzamiento de bala,Torneo de Mongolia,Portious WARREN,2520
lanzamiento de bala,Torneo de Mongolia,Anna AVDEYEVA,2509
lanzamiento de bala,Torneo de Mongolia,Bob BERTEMES,2490
lanzamiento de bala,Torneo de Montenegro,Darrell HILL,2518
lanzamiento de bala,Torneo de Montenegro,Danniel THOMAS-DODD,2510
lanzamiento de bala,Torneo de Montenegro,Maggie EWEN,2503
lanzamiento de bala,Torneo de Morocco,Darlan ROMANI,2503
lanzamiento de bala,Torneo de Morocco,Bob BERTEMES,2488
lanzamiento de bala,Torneo de Morocco,Daniella HILL,2480
lanzamiento de bala,Torneo de Mozambique,Maggie EWEN,2508
lanzamiento de bala,Torneo de Mozambique,Armin SINANČEVIĆ,2505
lanzamiento de bala,Torneo de Mozambique,Joe KOVACS,2503
lanzamiento de bala,Torneo de Myanmar,Jordan GEIST,2519
lanzamiento de bala,Torneo de Myanmar,Mesud PEZER,2512
lanzamiento de bala,Torneo de Myanmar,Bob BERTEMES,2510
lanzamiento de bala,Torneo de Namibia,Michelle CARTER,2515
lanzamiento de bala,Torneo de Namibia,Michał HARATYK,2514
lanzamiento de bala,Torneo de Namibia,Lijiao GONG,2513
lanzamiento de bala,Torneo de Nauru,Darlan ROMANI,2519
lanzamiento de bala,Torneo de Nauru,Alyona GORDEYEVA,2518
lanzamiento de bala,Torneo de Nauru,Michał HARATYK,2518
lanzamiento de bala,Torneo de Nepal,Eldred HENRY,2518
lanzamiento de bala,Torneo de Nepal,Orazio CREMONA,2516
lanzamiento de bala,Torneo de Nepal,Maggie EWEN,2513
lanzamiento de bala,Torneo de Netherlands,Darlan ROMANI,2517
lanzamiento de bala,Torneo de Netherlands,Armin SINANČEVIĆ,2516
lanzamiento de bala,Torneo de Netherlands,Filip MIHALJEVIĆ,2507
lanzamiento de bala,Torneo de New Zealand,Orazio CREMONA,2514
lanzamiento de bala,Torneo de New Zealand,Portious WARREN,2514
lanzamiento de bala,Torneo de New Zealand,Lijiao GONG,2510
lanzamiento de bala,Torneo de Nicaragua,Paulina GUBA,2516
lanzamiento de bala,Torneo de Nicaragua,Chukwuebuka ENEKWECHI,2511
lanzamiento de bala,Torneo de Nicaragua,Anita MÁRTON,2508
lanzamiento de bala,Torneo de Niger,Mesud PEZER,2516
lanzamiento de bala,Torneo de Niger,Rachel FATHERLY,2515
lanzamiento de bala,Torneo de Niger,Anna AVDEYEVA,2509
lanzamiento de bala,Torneo de Nigeria,Konrad BUKOWIECKI,2511
lanzamiento de bala,Torneo de Nigeria,Michelle CARTER,2509
lanzamiento de bala,Torneo de Nigeria,Orazio CREMONA,2509
lanzamiento de bala,Torneo de North Korea,Michelle CARTER,2517
lanzamiento de bala,Torneo de North Korea,Bob BERTEMES,2507
lanzamiento de bala,Torneo de North Korea,Alyona GORDEYEVA,2503
lanzamiento de bala,Torneo de Northern Ireland,Darlan ROMANI,2519
lanzamiento de bala,Torneo de Northern Ireland,Orazio CREMONA,2518
lanzamiento de bala,Torneo de Northern Ireland,Brittany CREW,2502
lanzamiento de bala,Torneo de Norway,Anita MÁRTON,2519
lanzamiento de bala,Torneo de Norway,Tim NEDOW,2516
lanzamiento de bala,Torneo de Norway,Jordan GEIST,2507
lanzamiento de bala,Torneo de Oman,Maggie EWEN,2521
lanzamiento de bala,Torneo de Oman,Rachel FATHERLY,2518
lanzamiento de bala,Torneo de Oman,Jacko GILL,2514
lanzamiento de bala,Torneo de Pakistan,Michelle CARTER,2521
lanzamiento de bala,Torneo de Pakistan,Paulina GUBA,2511
lanzamiento de bala,Torneo de Pakistan,Jacko GILL,2510
